X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
7,5,9,5,86.2,26.2,94.3,5.1,8.2,3.9318256327243257,6.7,0.0,0.0
7,4,5,2,90.6,35.4,669.1,6.7,18.0,3.4965075614664802,0.9,0.0,0.0
7,4,5,4,90.6,43.7,686.9,6.7,14.6,3.4965075614664802,1.3,0.0,0.0
8,6,9,5,91.7,33.3,77.5,9.0,8.3,4.574710978503383,4.0,0.2,0.0
8,6,9,6,89.3,51.3,102.2,9.6,11.4,4.59511985013459,1.8,0.0,0.0
8,6,11,6,92.3,85.3,488.0,14.7,22.2,3.367295829986474,5.4,0.0,0.0
8,6,11,3,92.3,88.9,495.6,8.5,24.1,3.295836866004329,3.1,0.0,0.0
8,6,11,3,91.5,145.4,608.2,10.7,8.0,4.454347296253507,2.2,0.0,0.0
8,6,10,2,91.0,129.5,692.6,7.0,13.1,4.143134726391533,5.4,0.0,0.0
7,5,10,4,92.5,88.0,698.6,7.1,22.8,3.6888794541139363,4.0,0.0,0.0
7,5,10,4,92.5,88.0,698.6,7.1,17.8,3.9318256327243257,7.2,0.0,0.0
7,5,10,4,92.8,73.2,713.0,22.6,19.3,3.6375861597263857,4.0,0.0,0.0
6,5,11,5,63.5,70.8,665.3,0.8,17.0,4.276666119016055,6.7,0.0,0.0
6,5,10,3,90.9,126.5,686.5,7.0,21.3,3.7376696182833684,2.2,0.0,0.0
6,5,10,0,92.9,133.3,699.6,9.2,26.4,3.044522437723423,4.5,0.0,0.0
6,5,10,5,93.3,141.2,713.9,13.9,22.9,3.784189633918261,5.4,0.0,0.0
5,5,9,4,91.7,35.8,80.8,7.8,15.1,3.295836866004329,5.4,0.0,0.0
8,5,5,3,84.9,32.8,664.2,3.0,16.7,3.8501476017100584,4.9,0.0,0.0
6,4,9,0,89.2,27.9,70.8,6.3,15.9,3.5553480614894135,4.0,0.0,0.0
6,4,3,4,86.3,27.4,97.1,5.1,9.3,3.784189633918261,4.5,0.0,0.0
6,4,10,2,91.0,129.5,692.6,7.0,18.3,3.6888794541139363,2.7,0.0,0.0
5,4,10,3,91.8,78.5,724.3,9.2,19.1,3.6375861597263857,2.7,0.0,0.0
7,4,6,6,94.3,96.3,200.0,8.4,21.0,3.784189633918261,4.5,0.0,0.0
7,4,11,4,90.2,110.9,537.4,6.2,19.5,3.7612001156935624,5.8,0.0,0.0
7,4,11,4,93.5,139.4,594.2,20.3,23.7,3.4657359027997265,5.8,0.0,0.0
7,4,11,6,91.4,142.4,601.4,10.6,16.3,4.0943445622221,5.4,0.0,0.0
7,4,10,5,92.4,117.9,668.0,12.2,19.0,3.5263605246161616,5.8,0.0,0.0
7,4,10,3,90.9,126.5,686.5,7.0,19.4,3.871201010907891,1.3,0.0,0.0
6,3,10,4,93.4,145.4,721.4,8.1,30.2,3.1780538303479458,2.7,0.0,0.0
6,3,10,6,93.5,149.3,728.6,8.1,22.8,3.6635616461296463,3.6,0.0,0.0
6,3,10,5,94.3,85.1,692.3,15.9,25.4,3.1780538303479458,3.6,0.0,0.0
6,3,10,3,88.6,91.8,709.9,7.1,11.2,4.356708826689592,7.6,0.0,0.0
6,3,10,5,88.6,69.7,706.8,5.8,20.6,3.6109179126442243,1.8,0.0,0.0
6,3,10,6,91.7,75.6,718.3,7.8,17.7,3.6635616461296463,3.6,0.0,0.0
6,3,10,3,91.8,78.5,724.3,9.2,21.2,3.4657359027997265,2.7,0.0,0.0
6,3,10,2,90.3,80.7,730.2,6.3,18.2,4.127134385045092,4.5,0.0,0.0
